name,Season,Apps,Mins,Goals,Assists,Yel,Red,MotM,Rating
adam-szalai,2009,15,791,1,1,0,0,0,6.41
adam-szalai,2010,20,1287,4,3,1,0,1,6.82
adam-szalai,2011,15,1072,3,1,2,1,0,6.66
adam-szalai,2012,29,2406,13,3,6,0,3,6.97
adam-szalai,2013,35,1850,7,0,2,0,1,6.58
adam-szalai,2014,26,1318,4,4,2,1,2,6.7
adam-szalai,2015,16,794,0,2,2,0,0,6.37
adam-szalai,2016,26,1007,9,1,3,0,1,6.72
adam-szalai,2017,19,912,5,1,3,1,2,6.58
adam-szalai,2018,43,2540,10,4,4,1,2,6.67
adam-szalai,2019,27,1141,1,1,1,0,0,6.36
adam-szalai,2020,25,1178,2,1,2,0,0,6.3
adam-szalai,2021,19,879,4,2,2,0,0,6.56
adam-szalai,2022,4,312,0,0,0,0,0,6.67
alex-collado,2018,1,84,0,0,0,0,0,5.96
alex-collado,2019,1,5,0,0,0,0,0,6.1
alex-collado,2021,17,1027,2,1,1,0,1,6.58
alex-fernandez,2010,1,1,0,0,0,0,0,6.0
alex-fernandez,2013,21,550,0,1,0,0,0,6.34
alex-fernandez,2014,5,149,0,0,0,0,0,6.18
alex-fernandez,2015,8,247,0,0,0,0,0,6.29
alex-fernandez,2020,25,1950,4,1,1,0,0,6.6
alex-fernandez,2021,32,2051,3,2,2,0,1,6.54
alex-moreno,2014,11,457,0,0,0,0,0,6.3
alex-moreno,2018,36,3140,1,1,5,0,1,6.73
alex-moreno,2019,31,2267,0,4,5,0,0,6.58
alex-moreno,2020,23,1787,0,2,4,0,0,6.75
alex-moreno,2021,37,2805,5,3,5,1,2,6.82
alex-remiro,2019,25,2250,0,0,0,0,0,6.61
alex-remiro,2020,45,4050,0,0,0,0,2,6.51
alex-remiro,2021,40,3600,0,0,1,0,1,6.69
alex-sola,2018,1,90,0,0,0,0,0,8.03
alex-sola,2021,2,39,0,0,0,0,0,6.43
alvaro-aguirre,2021,1,8,0,0,0,0,0,5.98
alvaro-bastida,2020,1,34,0,0,0,0,0,5.95
alvaro-bastida,2021,6,195,0,0,1,0,0,6.13
alvaro-fernandez,2016,1,45,0,0,0,0,0,6.2
alvaro-fernandez,2020,22,1980,0,0,0,0,1,6.64
alvaro-fernandez,2021,16,1440,0,0,0,0,1,6.46
alvaro-garcia,2013,4,101,0,0,0,0,0,6.13
alvaro-garcia,2018,35,1759,4,2,3,0,0,6.34
alvaro-garcia,2021,36,3006,7,4,6,0,1,6.81
alvaro-gonzalez,2010,3,262,0,0,2,0,0,6.84
alvaro-gonzalez,2011,34,3031,1,0,14,0,1,6.88
alvaro-gonzalez,2012,33,2942,1,0,12,2,0,6.85
alvaro-gonzalez,2013,1,90,0,0,0,0,0,7.24
alvaro-gonzalez,2014,36,3047,1,0,11,0,1,6.76
alvaro-gonzalez,2015,36,3227,0,1,10,0,0,6.63
alvaro-gonzalez,2016,31,2475,1,1,10,0,1,6.65
alvaro-gonzalez,2017,36,3169,0,2,15,1,0,6.75
alvaro-gonzalez,2018,41,3597,1,3,16,2,2,6.67
alvaro-gonzalez,2019,20,1629,0,0,4,1,0,6.62
alvaro-gonzalez,2020,38,3374,2,3,15,0,0,6.56
alvaro-gonzalez,2021,8,631,0,0,2,0,0,6.43
alvaro-jimenez,2017,13,524,1,1,3,1,0,6.35
alvaro-jimenez,2021,9,228,0,0,0,0,0,6.21
alvaro-morata,2010,1,1,0,0,0,0,0,6.08
alvaro-morata,2011,1,8,0,0,0,0,0,6.16
alvaro-morata,2012,13,409,2,2,3,0,1,6.69
alvaro-morata,2013,33,978,13,2,3,0,0,6.81
alvaro-morata,2014,41,2065,13,5,8,1,3,6.84
alvaro-morata,2015,42,1990,9,9,8,0,2,6.84
alvaro-morata,2016,39,1790,21,5,8,0,2,7.0
alvaro-morata,2017,38,2450,12,6,8,0,1,6.85
alvaro-morata,2018,39,2431,13,1,10,0,1,6.78
alvaro-morata,2019,42,2590,15,3,6,1,4,6.87
alvaro-morata,2020,48,3175,21,10,4,1,6,7.04
alvaro-morata,2021,49,3325,13,8,5,0,5,6.84
alvaro-morata,2022,4,231,1,0,0,0,0,6.72
alvaro-negredo,2009,42,2344,12,5,0,3,5,6.81
alvaro-negredo,2010,38,2623,20,5,4,0,4,7.2
alvaro-negredo,2011,30,2341,14,3,5,0,4,7.15
alvaro-negredo,2012,38,3091,25,1,3,0,5,7.25
alvaro-negredo,2013,40,2054,14,4,3,0,1,6.91
alvaro-negredo,2014,30,1532,5,4,4,0,1,6.77
alvaro-negredo,2015,32,1682,6,2,0,0,0,6.66
alvaro-negredo,2016,36,2880,9,4,5,0,2,6.91
alvaro-negredo,2017,36,1528,8,7,3,0,0,6.74
alvaro-negredo,2018,4,352,2,1,0,0,0,7.47
alvaro-negredo,2020,35,2217,8,4,3,1,4,6.75
alvaro-negredo,2021,34,2157,7,2,3,0,3,6.74
alvaro-odriozola,2016,15,1285,0,4,0,0,1,6.61
alvaro-odriozola,2017,41,3458,1,4,2,1,0,6.63
alvaro-odriozola,2018,17,1407,0,2,2,0,0,6.74
alvaro-odriozola,2019,9,606,0,2,1,1,0,6.62
alvaro-odriozola,2020,15,861,2,0,1,0,0,6.59
alvaro-odriozola,2021,25,1730,1,1,4,1,0,6.34
alvaro-sanz,2021,2,27,0,0,0,0,0,6.01
alvaro-vadillo,2011,4,112,0,0,0,0,0,6.58
alvaro-vadillo,2012,14,498,0,2,3,0,0,6.53
alvaro-vadillo,2013,25,1337,1,2,4,0,0,6.47
alvaro-vadillo,2015,3,85,0,0,0,0,0,6.14
alvaro-vadillo,2019,22,1222,3,1,0,0,0,6.53
alvaro-vadillo,2021,3,6,0,0,1,0,0,6.06
angel-correa,2015,31,1076,6,4,8,0,1,6.71
angel-correa,2016,40,1471,4,8,7,0,0,6.66
angel-correa,2017,52,3067,9,8,5,1,4,6.88
angel-correa,2018,44,2276,3,3,9,1,1,6.66
angel-correa,2019,41,2513,5,6,7,0,1,6.58
angel-correa,2020,46,2895,9,10,3,0,2,6.9
angel-correa,2021,46,2261,13,5,5,1,2,6.57
angel-di-maria,2010,45,3053,9,14,8,0,5,7.48
angel-di-maria,2011,30,1807,7,16,6,1,2,7.37
angel-di-maria,2012,43,2784,7,10,3,1,2,6.97
angel-di-maria,2013,45,3208,7,22,7,0,3,7.49
angel-di-maria,2014,32,2068,4,10,2,0,1,7.14
angel-di-maria,2015,45,3368,15,22,0,0,10,7.86
angel-di-maria,2016,36,2588,10,8,1,1,6,7.32
angel-di-maria,2017,35,2265,12,7,1,0,3,7.25
angel-di-maria,2018,41,3237,15,14,3,0,3,7.43
angel-di-maria,2019,40,2904,11,20,5,0,8,7.56
angel-di-maria,2020,37,2560,5,13,1,1,5,7.22
angel-di-maria,2021,31,1916,5,8,2,0,3,7.07
angel-montoro,2015,9,433,0,0,2,0,0,6.56
angel-montoro,2016,17,1107,0,0,1,0,0,6.49
angel-montoro,2019,15,975,2,5,6,0,2,6.89
angel-montoro,2020,31,1925,2,2,10,0,0,6.6
angel-montoro,2021,24,1331,1,1,5,0,0,6.29
angel-rodriguez,2009,24,318,1,0,1,0,0,6.11
angel-rodriguez,2012,16,597,3,1,1,0,0,6.29
angel-rodriguez,2013,9,244,2,0,0,0,0,6.23
angel-rodriguez,2014,15,526,0,1,1,0,0,6.14
angel-rodriguez,2017,33,2299,13,2,6,0,3,6.78
angel-rodriguez,2018,37,1821,8,3,4,0,2,6.46
angel-rodriguez,2019,40,1840,13,3,8,0,3,6.55
angel-rodriguez,2020,33,1364,5,0,4,0,1,6.19
angel-rodriguez,2021,29,1551,4,2,4,0,0,6.37
caglar-soyuncu,2016,24,2072,0,1,4,0,1,6.86
caglar-soyuncu,2017,26,2153,1,0,4,2,0,6.58
caglar-soyuncu,2018,10,732,0,0,1,0,0,6.4
caglar-soyuncu,2019,34,3037,1,1,4,1,0,7.04
caglar-soyuncu,2020,31,2463,1,0,5,0,1,6.71
caglar-soyuncu,2021,38,3354,1,0,6,0,1,6.75
caglar-soyuncu,2022,3,226,0,0,1,0,0,6.81
ederson,2018,5,177,0,0,1,0,0,6.23
ederson,2019,21,1650,2,0,4,0,1,6.83
ederson,2020,16,711,0,0,1,0,0,6.43
ederson,2021,49,3780,3,3,11,0,4,6.97
edouard-mendy,2018,38,3420,0,0,3,0,5,6.84
edouard-mendy,2019,30,2615,0,0,1,1,2,6.79
edouard-mendy,2020,44,3916,0,0,2,0,0,6.7
edouard-mendy,2021,49,4501,0,0,3,0,1,6.64
eric-ebimbe,2020,30,2152,1,1,5,0,0,6.5
eric-ebimbe,2021,11,322,0,0,2,0,0,6.35
inigo-lekue,2015,26,1493,1,0,2,0,1,6.74
inigo-lekue,2016,30,1890,3,1,2,0,1,6.72
inigo-lekue,2017,41,2845,0,1,4,0,0,6.69
inigo-lekue,2018,4,210,0,0,1,0,0,6.51
inigo-lekue,2019,14,617,0,1,0,0,0,6.38
inigo-lekue,2020,18,635,0,0,1,0,0,6.31
inigo-lekue,2021,25,1928,0,2,3,0,0,6.59
inigo-martinez,2011,26,2203,3,0,8,2,0,6.96
inigo-martinez,2012,34,3060,4,0,9,0,2,6.93
inigo-martinez,2013,45,4023,2,0,13,0,0,6.87
inigo-martinez,2014,34,3028,3,0,6,0,3,7.09
inigo-martinez,2015,30,2700,1,0,7,0,1,6.95
inigo-martinez,2016,34,3000,3,2,9,1,2,6.86
inigo-martinez,2017,31,2766,1,1,7,0,1,6.88
inigo-martinez,2018,35,2996,0,0,12,0,0,6.82
